id,price,nebenkosten,kaltmiete,location_postalCode,location_cityName,location_street,roomSize
1002962,190,25,165,9126,Chemnitz Zentrum,Turnstraße,18
1002964,290,0,290,48147,Münster Nord,Cheruskerring,16
1002972,300,0,300,51465,Köln Bergisch-Gladbach,Hauptstrasse,12
1002986,317,50,267,22765,Hamburg Altona-Nord,harkortstr.,16
1002987,242,50,192,52064,Aachen Aachen,Weberstr.,15
1002989,300,0,300,51465,Bergisch Gladbach Gladbach,Hauptstrasse,12
1002960,365,65,300,81543,München AU-Untergiesing,Sommerstraße,12
1002993,360,80,280,76829,Landau in der Pfalz Zentrum,Pestalozzistraße,30
1002995,320,45,275,26122,Oldenburg Innenstadt,Lindenallee,28
1003018,125,27,98,1170,ien Hernals,Jörger Straße,24
1003019,395,0,395,20144,Hamburg Harvestehude,Schlankreye,20
1003020,210,40,170,86153,Augsburg Innenstadt,heinrich-von-buz strasse,14
1002976,270,35,235,13349,Berlin Wedding,Müllerstr.,23
1003022,191,72,119,17491,Greifswald Schönwalde II,Koitenhäger Landstraße,14
1003026,140,27,113,6406,Bernburg (Saale) Strenzfeld,Kastanienweg,12
1003049,200,0,200,4317,Leipzig Reudnitz-Thonberg,Augustenstr.,16
1003072,240,40,200,44135,Dortmund Mitte,kronprinzenstraße,12
1003077,250,60,190,10437,Berlin Prenzlauer Berg,Dunckerstraße,14
1003085,247,67,180,38106,Braunschweig Östliches Ringgebet,Hagenring,14
1003033,280,80,200,64285,Darmstadt Darmstadt,Paul-Wagner-Straße,13
1003040,350,40,310,10999,Berlin Kreuzberg,Reichenberger Str.,22
1003120,350,150,200,10437,Berlin Prenzlauer Berg,Gleimstraße,30
1003133,184,0,184,50354,Hürth Efferen,Hahnenstr,17
1003135,173,30,143,93053,Regensburg Galgenberg,Friedenstr.,10
1003144,240,0,240,69126,Heidelberg Südstadt,Schwindstr.,15
1003150,340,40,300,50674,Köln Belgisches Viertel,Bruesseler Platz,18
1003166,235,35,200,24116,Kiel Schreventeich,Eckernförderstr.,18
1003175,266,26,240,81927,München Arabellapark,Evastr.,13
1003176,220,60,160,1069,Dresden Südvorstadt,Helmholtzstr.,25
1003145,470,0,470,80997,München Moosach,Puchheimer Str.,20
1003177,205,70,135,10967,Berlin Kreuzberg,Kottbusser Damm,13
1003179,190,55,135,4317,Leipzig Reudnitz-Thonberg,Robert-Volkmann-Strasse,11
1003181,171,41,130,4275,Leipzig Südvorstadt,"Karl-Liebknecht Straße,",13
1003191,190,50,140,33100,Paderborn Liedth,Peckelsheimer Weg,13
1003212,180,60,120,7747,Jena Lobeda Ost,Salvador Allende Platz,11
1003220,245,43,202,94034,Passau Ilzstadt,Löwenmühlstraße,32
1003227,260,10,250,70599,"Stuttgart Hohenheim, Möhringen, Vaihingen",Allgäustr.,12
1003240,429,130,299,14057,Berlin Charlottenburg,Königin-Elisabeth-Straße,15
1003262,192,55,137,6114,Halle (Saale) Paulusviertel,Uhlandstrasse,15
1003272,360,65,295,69120,Heidelberg Neuenheim,Mönchhofstr.,16
1003293,350,110,240,10247,Berlin Friedrichshain,Proskauer,30
1003300,210,40,170,18057,Rostock Kröpeliner Tor Vorstadt,Patriotischer Weg,15
1003248,160,30,130,4229,Leipzig Schleußig,Schnorrstraße,25
1003273,350,0,350,81377,München Hadern,Heiglhofstr.,14
1003305,256,0,256,28201,Bremen Neustadt,Buntentorsteinweg,12
1003314,223,0,223,17036,Neubrandenburg Oststadt,Otto-Lilienthal-Str.,10
1003324,270,70,200,21335,Lüneburg Zentrum,Heiligengeiststr.a,20
1003334,220,0,220,94032,Passau Altstadt,Gabelbergerstraße,26
1003344,112,0,112,39112,Magdeburg sudenburg,Wolfenbüttler Straße,13
1003357,130,10,120,60318,Frankfurt am Main Nordend-West,Händelstr.,14
1003369,200,45,155,26723,Emden Wybelsum,Kloster-Langen-Straße,32
1003340,420,60,360,44791,Bochum Grumme,Erbhof,38
1003371,284,84,200,69117,Heidelberg Altstadt,krämergasse,12
1003380,235,0,235,12049,Berlin Neukölln,Selchowerstraße,15
1003386,450,0,450,81373,München Sendling,Pfeuferstraße,22
1003395,295,100,195,1099,Dresden Neustadt,Prießnitzstraße,18
1003400,325,25,300,1100,issabon Alfama,Calcada de Sao Vicente n,17
1003404,280,50,230,80637,München Neuhausen-Nymphenburg,Ebenauer Str.,11
1003412,240,20,220,10439,Berlin Prenzlauer Berg,Zelter Straße,22
1003421,393,40,353,17489,Greifswald Greifswald,Arndtstr.,18
1003424,290,90,200,75173,Pforzheim Südstadt,Vogesenallee,40
1003428,300,90,210,75173,Pforzheim Südstadt,Vogesenallee,42
1003429,300,0,300,10999,Berlin Kreuzberg,Admiralstraße,15
1003431,215,25,190,37073,Göttingen Südstadt,Brauweg,30
1003438,300,0,300,12047,Berlin Kreuzberg/Neukölln,Pannierstrasse,21
1003450,300,50,250,10823,Berlin Schöneberg,Akazienstr.,38
1003422,246,30,216,4275,Leipzig Südvorstadt,Lößnigerstr.,20
1003444,399,69,330,70597,Stuttgart Süd,Kauzenhecke,21
1003446,315,20,295,50933,Köln Müngersdorf,Am Ackerrain,12
1003466,195,50,145,4107,Leipzig Zentrum-Süd,Paul-Gruner-Str.,20
1003469,220,0,220,45141,Essen Nord,Niederstrasse,14
1003476,150,0,150,95444,Bayreuth Birken,Frankengutstr.,15
1003477,260,25,235,59494,Soest zentrum,Freiligrathwall,15
1003478,200,0,200,23943,Flensburg Jürgensby,Auf der Dorfkoppel,15
1003480,370,20,350,63303,Offenbach am Main Dreich-Sprendlingen,lieb****Str.**,20
1003485,260,40,220,7749,Jena Jena-Ost,Karl-Liebknecht-Straße,22
1003475,242,69,173,69115,Heidelberg Weststadt,Bahnhofstr,12
1003487,285,0,285,14471,Potsdam Potsdam West,Geschwister-Scholl-Straße,24
1003499,315,15,300,22303,Hamburg Winterhude,wiesendamm,25
1003500,310,50,260,48145,Münster Centrum,Gereonstrasse,16
1003513,250,0,250,94034,Passau Ilzstadt,Löwenmühlstr.,20
1003531,372,50,322,81929,München Bogenhausen,Eggenfeldenerstraße,18
1003537,220,72,148,26725,Emden Stadtzentrum,Marttin Faber Str.,22
1003548,270,30,240,48149,Münster Centrumsnah,Philippistr.,12
1003554,169,55,114,7747,Jena Jena-Lobeda,Hans-Berger-Straße,14
1003555,350,0,350,79249,Freiburg im Breisgau Merzhausen (Ecke Vauban),Im Laimacker,20
1003567,230,35,195,86153,Augsburg Innenstadt,Heinrich-von-Buz Strasse,14
1003571,285,80,205,97074,Würzburg Frauenland,Gegenbaurstr.,15
1003514,240,0,240,4107,Leipzig Zentrum-Süd,Riemannstr.,25
1003557,216,0,216,79110,Freiburg im Breisgau Seepark,Sundgaualle,12
1003572,280,50,230,76135,Karlsruhe Innenstadt-West,draisstr.,18
1003581,210,80,130,4107,Leipzig Zentrum-Süd,Harkortstrasse,25
1003587,250,0,250,50825,Köln Neuehrenfeld,Franz-Liszt-Straße,18
1003594,400,0,400,97072,Würzburg Sanderau,franz-ludwig-strasse,22
1003600,200,0,200,79100,Freiburg im Breisgau Unterwiehre,Oltmannsstr.,15
1003609,300,40,260,10247,Berlin Friedrichshain,Rigaer,25
1003610,270,60,210,4277,Leipzig Connewitz,Simildenstr.,30
1003642,190,35,155,97082,Würzburg Zellerau,Fröhlichstraße,12
1003592,141,0,141,26121,Oldenburg Bürgerfelde,Alexanderstraße,10
1003655,300,70,230,72070,Tübingen Innenstadt,Neckarhalde,19
1003656,381,71,310,10827,Berlin Schöneberg,Ebersstrasse,33
1003663,200,50,150,4317,Leipzig Reudnitz-Thonberg,Lipsiusstraße,20
1003691,169,60,109,69221,Heidelberg Dossenheim,Ortsstraße,14
1003701,356,71,285,10827,Berlin Schöneberg,Ebersstrasse,26
1003705,230,0,230,89075,Ulm Mitte,Frauensteige,15
1003706,280,40,240,20099,Hamburg St Georg,Alexanderstr.,12
1003707,215,0,215,72070,Tübingen Weststadt,Im Buckenloh,13
1003710,295,0,295,50939,Köln Sülz,Gottesweg,19
1003659,253,62,191,90439,Nürnberg St Leonhard,Rothenburger Str.,15
1003684,210,0,210,99089,Erfurt Andreasvorstadt,Gerberstraße,20
1003702,229,0,229,4157,Leipzig Gohlis-Mitte,Hoepnerstr.,21
1003712,165,45,120,9126,Chemnitz Lutherviertel,Charlottenstraße,16
1003715,200,30,170,14469,Potsdam potzdam nord,nedlitzerstr,12
1003724,278,70,208,93051,Regensburg Königswiesen-Dechbetten-Großprüfening,Königswiesenweg,11
1003726,316,36,280,10779,Berlin Wilmersdorf/Schöneberg,Aschaffenburger Str.,34
1003750,281,81,200,10961,Berlin Kreuzberg,Gneisenaustr.,25
1003751,130,40,90,4229,Leipzig Plagwitz,Zschochersche Straße,13
1003754,220,0,220,72070,Tübingen Weststadt,Stöcklestraße,11
1003760,270,60,210,48149,Münster Centrum,schulstraße,20
1003772,310,30,280,28199,Bremen City,Bürgermeister-Smidt-Straße,18
